Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C9988,568501.64,138200.91,208.248
C8717-01072021a,569264.346,137264.957,219.782
C8067-01072021a,569109.823,137600.839,217.074
L4_e32,569778.908,137383.258,217.944
L4_e33,569801.928,137393.897,217.782
L4_e34,569824.337,137404.241,217.661
L4_e35,569847.099,137414.859,217.386
L4_e36,569869.56,137425.475,217.153
L4_e37,569892.37,137435.985,217.054
L4_e38,569915.086,137446.634,216.757
L4_e39,569937.818,137457.1,216.64
L4_e40,569960.332,137467.845,216.378
L4_e41,569983.278,137478.302,216.13
L4_e42,570005.487,137488.983,215.85
L4_e43,570028.216,137499.306,215.676
L4_e44,570051.096,137509.917,215.461
L4_e45,570073.502,137520.614,215.101
L4_e46,570096.008,137531.569,214.818
L4_e47,570118.977,137541.92,214.474
L4_e48,570141.428,137552.333,214.262
L4_e49,570164.267,137562.896,214.21
L4_e50,570186.902,137573.294,214.035
L4_e51,570209.689,137583.822,213.752
L4_e52,570232.168,137594.334,213.37
L4_e53,570255.231,137605.014,213.177
L4_e54,570277.93,137615.871,212.774
L4_e55,570300.871,137626.317,212.42
L4_e56,570323.6,137637.245,212.177
L4_e57,570346.36,137647.972,212.031
L4_e58,570369.444,137658.642,211.745
L4_e59,570392.184,137669.615,211.382
L4_e60,570414.813,137679.664,211.375
L4_e61,570434.546,137689.111,211.013
L4_e62,570457.536,137699.854,210.517
L4_e63,570480.601,137710.651,210.411
L4_e64,570503.98,137721.383,209.732
L4_e65,570526.545,137731.778,209.565
L4_e66,570549.722,137742.662,209.377
L4_e67,570571.869,137752.909,208.954
L4_e68,570594.795,137763.753,208.657
L4_e69,570617.411,137774.347,208.188
L4_e70,570640.017,137784.758,207.902
L4_e71,570662.838,137795.386,207.746
L4_e72,570685.235,137806.016,207.36
L4_e73,570707.663,137816.152,207.071
L4_e74,570730.563,137826.867,206.904
L4_e75,570753.362,137837.58,206.324
L4_e76,570775.679,137847.915,206.076
L4_e77,570798.796,137858.817,205.792
L4_e78,570820.99,137869.523,205.591
L4_e79,570843.971,137880.4,205.186
L4_e80,570867.002,137890.824,204.697
L4_e81,570890.581,137900.429,204.082
L4_e82,570913.319,137911.794,203.567
L4_e83,570936.098,137923.069,203.025
L4_e84,570959.206,137933.474,202.906
L4_e85,570982.245,137944.273,202.53
L4_e86,571005.271,137955.404,202.385
L4_e87,571028.399,137966.096,201.675
L4_e88,571051.521,137976.486,201.508
L4_e89,571074.257,137985.406,200.508
L4_e90,571093.082,137996.04,200.268
L4_e91,571115.611,138006.7,200.155
L4_e92,571138.503,138017.245,199.892
L4_e93,571161.048,138027.748,199.352
L4_e94,571184.017,138038.381,198.665
L4_e95,571206.476,138048.817,198.794
C8717_01072021b,569264.361,137264.957,219.776
C8067_01072021b,569109.811,137600.845,217.063
C8717_01132021a,569264.347,137264.972,219.781
C8067_01132021a,569109.8,137600.853,217.061
L4_e01,569076.74,137055.458,222.403
L4_e02,569099.631,137066.165,223.169
L4_e03,569122.087,137076.974,222.985
L4_e04,569144.612,137087.258,222.659
L4_e05,569167.45,137097.758,222.747
L4_e06,569190.051,137108.459,222.509
L4_e07,569212.551,137119.224,222.227
L4_e08,569235.251,137129.818,221.632
L4_e09,569257.884,137139.796,221.368
L4_e10,569280.417,137150.683,221.156
L4_e11,569303.043,137161.38,221.152
L4_e12,569325.888,137172.166,220.951
L4_e13,569348.449,137182.218,221.048
L4_e14,569371.192,137192.602,220.816
L4_e15,569393.518,137203.431,220.653
L4_e16,569416.333,137214.147,220.355
L4_e17,569439.282,137224.777,220.102
L4_e18,569461.857,137235.505,219.88
L4_e19,569484.313,137245.879,219.638
L4_e20,569507.185,137256.464,219.404
L4_e21,569529.822,137266.757,219.445
L4_e22,569552.417,137277.299,219.523
L4_e23,569575.118,137288.223,219.197
L4_e24,569597.671,137298.63,219.004
L4_e25,569620.582,137308.823,218.978
L4_e26,569643.177,137319.743,218.815
L4_e27,569666.074,137330.214,218.449
L4_e28,569688.518,137341.064,218.253
L4_e29,569711.107,137351.28,218.135
L4_e30,569733.782,137361.99,218.078
L4_e31,569756.203,137372.693,218.017
L4_e32,569778.908,137383.29,217.949
C8067_01132021b,569109.81,137600.858,217.069
C8717_01132021b,569264.347,137264.984,219.792
