Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C9988,568501.64,138200.91,208.248
C8067_01182021a,569109.828,137601.004,217.072
C8067_01182021b,569109.789,137600.691,217.067
C8717_01182021a,569264.197,137264.955,219.781
C8717_01182021b,569264.509,137264.987,219.784
L5_e01,569229.432,136906.427,223.447
L5_e02,569252.022,136916.946,223.372
L5_e03,569274.386,136927.05,223.593
L5_e04,569297.45,136937.369,223.681
L5_e05,569319.534,136948.278,223.214
L5_e06,569342.237,136959.098,222.959
L5_e07,569365.281,136969.439,223.076
L5_e08,569387.853,136979.614,223.372
L5_e09,569410.535,136990.546,223.268
L5_e10,569433.392,137001.078,223.342
L5_e11,569455.801,137011.842,222.867
L5_e12,569478.648,137022.453,222.599
L5_e13,569501.427,137033.02,222.403
L5_e14,569523.711,137043.584,222.123
L5_e15,569546.539,137054.118,221.71
L5_e16,569569.162,137064.541,221.728
L5_e17,569591.592,137075.31,221.188
L5_e18,569614.541,137085.83,220.787
L5_e19,569636.994,137096.332,220.616
L5_e20,569659.714,137106.878,220.73
L5_e21,569682.534,137116.802,220.716
L5_e22,569704.893,137128.075,220.875
L5_e23,569727.471,137138.681,220.46
L5_e24,569750.533,137148.978,220.412
L5_e25,569772.891,137159.737,220.326
L5_e26,569795.709,137170.064,220.07
L5_e27,569818.38,137181.033,219.968
L5_e28,569841.205,137191.013,219.839
L5_e29,569863.721,137202.181,219.86
L5_e30,569886.389,137212.564,219.68
L5_e31,569908.899,137223.19,219.481
L5_e32,569931.582,137233.497,219.499
L5_e33,569954.196,137244.356,219.468
L5_e34,569977.142,137254.936,219.123
L5_e35,569999.987,137265.488,218.811
L5_e36,570021.917,137276.119,218.68
L5_e37,570045.043,137286.482,218.529
L5_e38,570067.384,137297.128,218.443
L5_e39,570089.998,137308.13,218.166
L5_e40,570112.879,137318.272,218.037
L5_e41,570135.55,137328.95,217.998
L5_e42,570158.557,137339.57,217.8
L5_e43,570181.093,137349.958,217.57
L5_e44,570202.978,137360.912,217.32
L5_e45,570226.165,137370.978,216.715
L5_e46,570248.821,137381.725,216.643
L5_e47,570271.652,137391.948,216.628
L5_e48,570294.1,137402.746,216.482
L5_e49,570316.714,137413.36,216.132
L5_e50,570339.796,137423.925,215.796
L5_e51,570362.447,137434.566,215.336
L5_e52,570384.901,137445.361,215.242
L5_e53,570407.549,137455.571,214.855
L5_e54,570430.379,137466.194,214.769
L5_e55,570452.947,137476.863,214.665
L5_e56,570475.697,137487.354,214.526
L5_e57,570498.099,137498.098,214.328
L5_e58,570520.866,137508.328,214.205
L5_e59,570543.46,137519.06,214.039
L5_e60,570566.111,137529.637,213.789
L5_e61,570588.948,137540.103,213.084
L5_e62,570611.504,137550.724,212.642
L5_e63,570634.101,137561.239,212.535
L5_e64,570656.779,137571.758,212.665
C8717-01182021b,569264.505,137264.998,219.799
C8067-01182021b,569109.837,137600.997,217.073
C8067-01202021a,569109.82,137601,217.074
C8717-01202021a,569264.495,137264.985,219.788
L5_e65,570679.303,137582.553,211.975
L5_e66,570702.026,137592.732,211.859
L5_e67,570724.71,137603.611,211.377
L5_e68,570747.385,137614.158,211.269
L5_e69,570770.027,137624.889,210.794
L5_e70,570792.852,137635.698,210.599
L5_e71,570815.967,137646.141,210.354
L5_e72,570838.814,137656.715,210.112
L5_e73,570861.972,137667.397,209.823
L5_e74,570885.244,137677.664,209.646
L5_e75,570905.202,137688.649,209.036
L5_e76,570928.435,137698.443,208.723
L5_e77,570951.324,137709.235,208.586
L5_e78,570973.779,137719.852,208.059
L5_e79,570996.752,137730.516,207.544
L5_e80,571019.115,137741.034,207.13
L5_e81,571041.975,137751.545,206.847
L5_e82,571064.44,137762.04,206.518
L5_e83,571087.154,137772.505,206.289
L5_e84,571109.893,137783.075,205.916
L5_e85,571132.476,137794.079,205.038
L5_e86,571155.108,137804.558,205.177
L5_e87,571177.555,137815.287,204.569
L5_e88,571200.522,137825.246,204.097
L5_e89,571223.113,137836.251,203.544
L5_e90,571245.691,137846.659,203.019
L5_e91,571268.448,137857.25,202.587
L5_e92,571291.107,137868.161,202.039
L5_e93,571313.681,137878.383,201.79
L5_e94,571336.259,137889.035,201.748
L5_e95,571359.179,137899.705,201.395
L5_e96,571381.062,137910.056,200.831
C8717_01202021b,569264.498,137264.99,219.773
C8067_01202021b,569109.821,137601.001,217.061
