Marker,Easting (m),Northing (m),Elevation (m)
35C_04072021a,579332.128,131341.749,162.736
35C_04072021b,579331.942,131341.938,162.732
34A_04072021a,579394.723,131467.43,161.437
34A_04072021b,579394.926,131467.671,161.432
A2_e113,580187.88,131392.792,156.981
A2_e114,580193.549,131417.496,157.231
A2_e115,580198.919,131441.161,156.942
A2_e116,580204.369,131465.653,156.521
A2_e117,580209.812,131489.929,156.512
A2_e118,580215.275,131514.316,156.979
A2_e119,580220.655,131538.722,157.845
A2_e120,580226.272,131563.155,158.352
A2_e121,580231.778,131587.434,157.023
A2_e122,580237.224,131611.901,155.206
A2_e123,580242.733,131636.225,156.466
A2_e124,580248.076,131660.696,158.283
A2_e125,580253.66,131685.057,157.748
A2_e126,580258.998,131709.437,155.788
A2_e127,580264.694,131733.926,156.391
A2_e128,580270.023,131758.232,157.724
A2_e129,580275.589,131782.693,158.897
A2_e130,580281.047,131807.038,158.06
A2_e131,580286.405,131831.423,160.306
A2_e132,580292.044,131855.867,161.735
A2_e133,580297.541,131880.301,159.714
A2_e134,580302.958,131904.717,161.325
A2_e135,580308.4,131929.184,162.554
A2_e136,580314.321,131953.876,164.943
A2_e137,580319.44,131977.767,158.753
A2_e138,580324.933,132002.342,160.094
A2_e139,580330.291,132026.501,159.022
A2_e140,580335.968,132051.029,157.958
A2_e141,580341.308,132075.244,157.631
A2_e142,580346.968,132099.714,158.957
A2_e143,580352.348,132124.018,160.428
A2_e144,580357.764,132148.325,160.202
34A_04072021c,579394.719,131467.413,161.433
34A_04072021d,579394.89,131467.699,161.443
35C_04072021c,579332.147,131341.734,162.729
35C_04072021d,579331.948,131341.933,162.733
