Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C8717_12152020a,569264.344,137264.997,219.77
C8067_12152020a,569109.848,137600.839,217.054
L2_e01,568745.296,137232.238,221.442
L2_e02,568768.371,137242.789,221.272
L2_e03,568790.482,137253.249,221.286
L2_e04,568813.338,137263.837,221.361
L2_e05,568836.167,137274.335,221.465
L2_e06,568858.907,137285.519,221.269
L2_e07,568881.467,137295.737,220.967
L2_e08,568904.062,137305.706,221.04
L2_e09,568926.788,137316.691,220.779
L2_e10,568949.327,137327.149,220.778
L2_e11,568972.033,137337.8,220.371
L2_e12,568994.153,137348.427,220.207
L2_e13,569017.335,137358.876,219.825
L2_e14,569040.196,137369.497,219.511
L2_e15,569062.591,137379.804,219.033
L2_e16,569085.367,137390.529,218.63
L2_e17,569107.976,137401.381,218.296
L2_e18,569130.792,137411.86,218.421
L2_e19,569153.374,137422.553,218.392
L2_e20,569175.66,137432.741,218.523
L2_e21,569198.736,137443.557,218.605
L2_e22,569221.445,137453.925,218.732
L2_e23,569243.811,137464.704,218.555
L2_e24,569266.721,137475.317,218.266
L2_e25,569289.251,137485.94,218.004
L2_e26,569311.761,137496.491,217.74
L2_e27,569334.618,137506.964,217.581
L2_e28,569357.313,137517.427,217.344
L2_e29,569379.865,137528.128,217.025
L2_e30,569402.484,137538.587,216.711
L2_e31,569425.22,137549.077,216.475
L2_e32,569447.966,137559.836,216.237
L2_e33,569470.635,137570.196,216.068
L2_e34,569493.138,137580.708,216.258
L2_e35,569515.701,137591.441,215.711
L2_e36,569538.538,137601.974,215.531
L2_e37,569561.193,137612.595,215.19
L2_e38,569583.821,137623.21,214.936
L2_e39,569606.506,137633.769,214.7
L2_e40,569629.229,137644.244,214.473
L2_e41,569651.702,137654.941,214.131
L2_e42,569674.451,137665.396,213.657
L2_e43,569697.093,137676.051,213.315
L2_e44,569719.658,137686.595,212.801
L2_e45,569742.476,137697.141,212.5
L2_e46,569765.047,137707.709,212.066
L2_e47,569787.845,137718.332,211.826
L2_e48,569809.827,137727.033,211.475
L2_e49,569831.785,137739.007,211.216
L2_e50,569854.643,137750.231,210.985
L2_e51,569877.959,137760.343,210.908
L2_e52,569901.054,137771.087,210.513
L2_e53,569923.599,137781.736,210.41
L2_e54,569946.351,137792.148,210.37
L2_e55,569969.072,137802.716,210.14
L2_e56,569991.613,137813.191,210.019
L2_e57,570014.292,137823.751,209.716
L2_e58,570036.994,137834.38,209.69
L2_e59,570059.645,137844.939,209.337
L2_e60,570082.234,137855.444,208.927
L2_e61,570104.883,137866.276,208.89
L2_e62,570127.649,137876.712,208.304
L2_e63,570150.326,137886.917,208.055
L2_e64,570172.829,137897.943,208.06
C8717_12152020b,569264.35,137264.97,219.77
C8067_12152020b,569109.808,137600.856,217.055
