C8786,568829.740,137966.540,211.090
C8067,569109.830,137600.880,217.062
C8717,569264.360,137264.990,219.788
C9988,568501.640,138200.910,208.248
C8067_12172020a,569109.812,137600.846,217.059
C8717_12172020a,569264.347,137264.982,219.764
L2_e65,570195.646,137908.561,207.654
L2_e66,570218.157,137919.003,207.119
L2_e67,570240.832,137929.497,206.950
L2_e68,570263.510,137940.169,206.716
L2_e69,570286.188,137950.708,206.123
L2_e70,570309.198,137961.273,205.780
L2_e71,570331.441,137971.843,205.525
L2_e72,570354.081,137982.390,205.233
L2_e73,570376.974,137993.009,204.994
L2_e74,570399.451,138003.534,204.636
L2_e75,570422.125,138014.087,204.263
L2_e76,570444.708,138024.623,203.977
L2_e77,570467.523,138035.312,203.627
L2_e78,570490.027,138045.808,203.440
L2_e79,570513.099,138056.367,202.819
L2_e80,570535.472,138066.954,202.639
L2_e81,570558.077,138077.585,202.182
L2_e82,570580.672,138087.921,201.972
L2_e83,570603.318,138098.726,201.579
L2_e84,570626.084,138109.466,201.068
L2_e85,570648.590,138119.783,200.977
L2_e86,570671.310,138130.316,200.501
L2_e87,570694.062,138140.845,200.091
L2_e88,570716.854,138151.659,199.891
L2_e89,570739.428,138162.084,199.459
L2_e90,570762.130,138172.537,199.059
L2_e91,570784.613,138183.186,198.670
L2_e92,570807.488,138193.805,198.084
L2_e93,570830.077,138204.350,197.721
L2_e94,570852.622,138214.848,197.292
L2_e95,570875.228,138225.350,196.833
L2_e96,570897.894,138236.163,196.422
L2_e97,570897.908,138236.161,196.434
C8067_12172020c,569109.819,137600.853,217.069
C8717_12172020c,569264.372,137264.954,219.773
