Marker,Easting (m),Northing (m),Elevation (m)
35C_03252021a,579332.144,131341.775,162.751
35C_03252021b,579331.934,131341.937,162.756
34A_03252021a,579394.716,131467.415,161.442
34A_03252021b,579394.915,131467.672,161.446
A2_e001,579573.655,128660.737,165.773
A2_e002,579578.957,128685.232,165.636
A2_e003,579584.559,128709.527,165.825
A2_e004,579589.982,128733.811,165.972
A2_e005,579595.479,128758.326,164.89
A2_e006,579600.815,128782.596,164.807
A2_e007,579606.457,128807.036,164.592
A2_e008,579612.067,128831.343,164.106
A2_e009,579617.461,128855.701,164.02
A2_e010,579622.839,128880.153,163.881
A2_e011,579628.36,128904.603,163.798
A2_e012,579633.936,128928.936,163.896
A2_e013,579639.481,128953.435,163.891
A2_e014,579644.976,128977.726,163.896
A2_e015,579650.342,129002.139,163.811
A2_e016,579655.832,129026.454,163.216
A2_e017,579661.232,129050.913,162.988
A2_e018,579666.903,129075.29,163.045
A2_e019,579672.196,129099.623,163.087
A2_e020,579677.669,129124.042,163.577
A2_e021,579683.381,129148.193,164.181
A2_e022,579688.877,129172.906,164.172
A2_e023,579694.163,129197.296,164.146
A2_e024,579699.657,129221.595,164.762
A2_e025,579705.217,129246.023,164.665
A2_e026,579710.646,129270.578,164.748
A2_e027,579716.171,129294.862,165.131
A2_e028,579721.608,129319.173,165.111
A2_e029,579727.067,129343.604,165.244
A2_e030,579732.673,129367.969,165.228
A2_e031,579737.956,129392.436,164.843
A2_e032,579743.451,129416.706,164.651
A2_e033,579749.072,129441.227,164.194
A2_e034,579754.499,129465.497,164.282
A2_e035,579760.071,129489.886,164.279
A2_e036,579765.531,129514.255,163.908
A2_e037,579771.008,129538.646,163.831
A2_e038,579776.429,129563.018,164.476
A2_e039,579781.858,129587.463,165.511
A2_e040,579787.334,129611.811,165.745
A2_e041,579793.011,129636.321,165.965
A2_e042,579798.387,129660.79,166.961
A2_e043,579803.9,129685.121,167.847
A2_e044,579809.374,129709.455,167.864
A2_e045,579814.915,129733.615,167.746
A2_e046,579820.209,129757.985,169.208
A2_e047,579825.838,129782.747,171.138
A2_e048,579831.395,129806.963,169.492
A2_e049,579836.787,129831.359,169.795
A2_e050,579842.334,129855.847,168.687
A2_e051,579847.813,129880.097,167.784
A2_e052,579853.305,129904.436,167.377
A2_e053,579858.96,129929.025,167.855
A2_e054,579864.236,129953.298,169.245
A2_e055,579869.713,129977.782,169.63
A2_e056,579875.105,130002.2,169.526
A2_e057,579880.753,130026.453,168.47
A2_e058,579885.946,130050.943,168.426
A2_e059,579891.653,130075.361,169.206
A2_e060,579897.012,130099.607,169.812
A2_e061,579902.64,130124.004,169.617
A2_e062,579907.932,130148.36,170.176
A2_e063,579913.56,130173.152,170.052
A2_e064,579919.105,130197.306,169.773
34A_03252021c,579394.707,131467.428,161.44
34A_03252021d,579394.885,131467.698,161.438
35C_03252021c,579332.139,131341.771,162.758
35C_03252021d,579331.93,131341.925,162.749
