Marker,Easting (m),Northing (m),Elevation (m)
35C_03052021a,579332.136,131341.75,162.737
35C_03052021b,579331.926,131341.919,162.739
34A_03052021a,579394.701,131467.43,161.429
34A_03052021b,579394.929,131467.669,161.427
A1_e065,581816.381,131114.2,158.778
A1_e066,581833.741,131132.161,158.553
A1_e067,581851.382,131149.93,158.778
A1_e068,581868.765,131167.804,159.649
A1_e069,581886.198,131185.729,159.547
A1_e070,581903.91,131203.478,158.666
A1_e071,581921.456,131221.288,158.885
A1_e072,581938.819,131239.164,158.91
A1_e073,581956.214,131257.144,158.821
A1_e074,581973.773,131274.977,158.79
A1_e075,581991.19,131292.845,159.437
A1_e076,582008.68,131310.628,159.9
A1_e077,582026.337,131328.701,159.834
A1_e078,582043.609,131346.482,160.454
A1_e079,582061.204,131364.324,158.378
A1_e080,582078.674,131382.196,157.921
A1_e081,582096.257,131400.077,157.575
A1_e082,582113.726,131417.984,157.715
A1_e083,582131.24,131435.949,158.172
A1_e084,582148.715,131453.661,158.386
A1_e085,582166.147,131471.577,158.592
A1_e086,582183.569,131489.5,158.704
A1_e087,582201.32,131507.35,158.575
A1_e088,582218.664,131525.022,158.615
A1_e089,582236.231,131543.015,158.832
A1_e090,582253.502,131560.837,159.061
A1_e091,582271.228,131578.829,159.161
A1_e092,582288.604,131596.479,159.439
A1_e093,582305.931,131614.398,160.236
A1_e094,582323.717,131632.363,160.845
A1_e095,582341.051,131650.294,161.709
A1_e096,582358.551,131667.952,162.978
A1_e097,582376.202,131685.865,162.717
A1_e098,582393.547,131703.704,162.533
A1_e099,582411.128,131721.636,162.117
A1_e100,582428.645,131739.541,162.34
A1_e101,582445.907,131757.374,162.245
A1_e102,582463.485,131775.237,162.745
A1_e103,582480.992,131792.923,163.736
A1_e104,582498.584,131810.811,165.18
A1_e105,582515.84,131828.782,166.663
A1_e106,582533.555,131846.569,168.151
A1_e107,582550.758,131864.514,165.031
A1_e108,582568.303,131882.516,162.38
A1_e109,582585.972,131900.215,162.673
A1_e110,582603.373,131918.065,163.304
A1_e111,582620.944,131936.066,162.374
A1_e112,582638.433,131953.848,163.099
A1_e113,582655.892,131971.708,164.627
A1_e114,582673.453,131989.52,165.04
A1_e115,582690.995,132007.393,165.788
A1_e116,582708.282,132025.366,164.132
A1_e117,582725.978,132043.042,161.518
A1_e118,582743.393,132061.016,161.407
A1_e119,582760.814,132078.78,161.438
A1_e120,582778.35,132096.878,161.107
A1_e121,582795.735,132114.623,160.781
A1_e122,582813.294,132132.599,160.968
A1_e123,582830.745,132150.438,161.177
A1_e124,582848.326,132168.292,161.415
A1_e125,582865.747,132186.034,161.528
A1_e126,582883.259,132203.951,162.236
A1_e127,582900.84,132222.011,161.815
A1_e128,582918.315,132239.694,161.381
34A_03052021c,579394.701,131467.433,161.435
34A_03052021d,579394.918,131467.669,161.434
35C_03052021c,579332.137,131341.783,162.745
35C_03052021d,579331.928,131341.947,162.737
