Marker,Easting (m),Northing (m),Elevation (m)
35C_02022021a,579332.123,131341.918,162.731
34A_02022021a,579394.674,131467.47,161.43
E2E_L2_e01,579801.665,132641.462,163.643
E2E_L2_e02,579821.523,132626.346,163.596
E2E_L2_e03,579841.142,132611.269,161.868
E2E_L2_e04,579860.972,132596.35,160.318
E2E_L2_e05,579880.904,132581.011,159.776
E2E_L2_e06,579900.679,132565.495,159.763
E2E_L2_e07,579920.656,132550.619,160.034
E2E_L2_e08,579940.648,132535.356,159.765
E2E_L2_e09,579960.473,132520.066,159.263
E2E_L2_e10,579980.323,132504.956,159.218
E2E_L2_e11,580000.025,132489.872,159.183
E2E_L2_e12,580019.252,132475.016,159.545
E2E_L2_e13,580039.433,132459.937,161.196
E2E_L2_e14,580059.336,132444.786,165.06
E2E_L2_e15,580079.592,132429.175,165.095
E2E_L2_e16,580099.369,132413.974,163.347
E2E_L2_e17,580119.361,132398.819,163.957
E2E_L2_e18,580139.319,132383.584,162.722
E2E_L2_e19,580158.963,132368.409,165.016
E2E_L2_e20,580179.019,132353.235,165.409
E2E_L2_e21,580198.723,132338.125,167.592
E2E_L2_e22,580218.78,132322.901,165.636
E2E_L2_e23,580238.607,132307.803,165.654
E2E_L2_e24,580258.622,132292.572,166.44
E2E_L2_e25,580278.373,132277.44,167.369
E2E_L2_e26,580298.385,132262.187,165.76
E2E_L2_e27,580318.137,132246.881,165.889
E2E_L2_e28,580337.708,132231.914,165.124
E2E_L2_e29,580357.537,132216.362,162.952
E2E_L2_e30,580377.63,132201.492,161.3
E2E_L2_e31,580397.331,132186.257,161.073
E2E_L2_e32,580417.294,132170.973,160.626
E2E_L2_e33,580437.126,132156.059,160.542
E2E_L2_e34,580456.956,132140.731,160.066
E2E_L2_e35,580477.03,132125.581,159.561
E2E_L2_e36,580496.664,132110.38,159.346
E2E_L2_e37,580516.568,132095.14,160.054
E2E_L2_e38,580536.395,132079.985,161.973
E2E_L2_e39,580556.343,132064.867,161.856
E2E_L2_e40,580576.22,132049.739,160.315
E2E_L2_e41,580596.187,132034.459,159.649
E2E_L2_e42,580615.883,132019.385,160.526
E2E_L2_e43,580636.053,132004.305,160.141
E2E_L2_e44,580655.762,131988.985,160.183
E2E_L2_e45,580675.516,131974.042,160.258
E2E_L2_e46,580695.595,131958.723,160.803
E2E_L2_e47,580715.393,131943.508,161.084
E2E_L2_e48,580735.125,131928.475,161.337
E2E_L2_e49,580755.127,131913.134,160.918
E2E_L2_e50,580774.685,131898.023,161.389
E2E_L2_e51,580794.815,131882.778,160.673
E2E_L2_e52,580814.705,131867.681,161.449
E2E_L2_e53,580834.585,131852.312,160.754
E2E_L2_e54,580854.432,131837.34,159.818
E2E_L2_e55,580874.44,131822.173,159.368
E2E_L2_e56,580894.247,131806.797,159.397
E2E_L2_e57,580913.953,131791.704,159.499
E2E_L2_e58,580933.912,131776.695,159.634
E2E_L2_e59,580953.813,131761.427,159.743
E2E_L2_e60,580973.617,131746.322,160.346
E2E_L2_e61,580993.5,131730.973,159.961
E2E_L2_e62,581013.467,131715.718,158.676
E2E_L2_e63,581033.142,131700.747,159.021
E2E_L2_e64,581053.078,131685.449,159.704
34A_02022021b,579394.815,131467.534,161.429
35C_02022021b,579332.041,131341.839,162.739
