Marker,Easting (m),Northing (m),Elevation (m)
R2_1_200EW_e38,569792.901,137499.97,216.1
R2_1_200EW_e39,569815.62,137510.482,215.995
R2_1_200EW_e40,569838.256,137521.031,215.803
R2_1_200EW_e41,569860.783,137531.66,215.5
R2_1_200EW_e42,569883.601,137542.146,215.404
R2_1_200EW_e43,569906.221,137552.822,215.164
R2_1_200EW_e44,569929.134,137563.036,215.121
R2_1_200EW_e45,569951.571,137573.883,214.8
R2_1_200EW_e46,569974.16,137584.608,214.623
R2_1_200EW_e47,569996.901,137595.07,214.38
R2_1_200EW_e48,570019.15,137605.385,213.695
R2_1_200EW_e49,570041.968,137616.122,213.22
R2_1_200EW_e50,570064.91,137626.736,212.963
R2_1_200EW_e51,570087.537,137637.237,212.773
R2_1_200EW_e52,570110.123,137647.921,212.408
R2_1_200EW_e53,570132.823,137658.419,212.046
R2_1_200EW_e54,570155.435,137668.898,211.985
R2_1_200EW_e55,570178.449,137679.538,211.82
R2_1_200EW_e56,570197.851,137690.445,211.597
R2_1_200EW_e57,570222.049,137699.218,211.324
R2_1_200EW_e58,570244.85,137710.274,211.173
R2_1_200EW_e59,570267.965,137721.451,210.783
R2_1_200EW_e60,570291.011,137732.133,210.571
R2_1_200EW_e61,570313.984,137742.955,210.185
R2_1_200EW_e62,570337.152,137753.84,209.949
R2_1_200EW_e63,570359.466,137764.088,209.482
R2_1_200EW_e64,570382.101,137774.673,209.178
C8717_05202021c,569264.493,137264.996,219.788
C8717_05202021d,569264.199,137264.944,219.784
C8067_05202021c,569109.807,137600.998,217.054
C8067_05202021d,569109.768,137600.689,217.049
C8067_05252021a,569109.778,137600.703,217.041
C8067_05252021b,569109.892,137600.992,217.04
C8717_05252021a,569264.227,137265.048,219.763
C8717_05252021b,569264.51,137264.969,219.773
R2_1_200EW_e065,570404.725,137785.279,208.869
R2_1_200EW_e066,570427.45,137795.746,208.547
R2_1_200EW_e067,570449.918,137806.401,208.329
R2_1_200EW_e068,570472.73,137817.035,208.022
R2_1_200EW_e069,570495.322,137827.567,207.759
R2_1_200EW_e070,570517.929,137838.026,207.454
R2_1_200EW_e071,570540.557,137848.589,207.024
R2_1_200EW_e072,570563.157,137859.181,206.693
R2_1_200EW_e073,570585.977,137869.741,206.535
R2_1_200EW_e074,570608.659,137880.336,206.094
R2_1_200EW_e075,570631.119,137890.984,205.783
R2_1_200EW_e076,570653.822,137901.593,205.373
R2_1_200EW_e077,570676.689,137912.021,205.206
R2_1_200EW_e078,570699.367,137922.815,204.911
R2_1_200EW_e079,570721.689,137932.832,204.551
R2_1_200EW_e080,570744.173,137943.871,204.172
R2_1_200EW_e081,570767.244,137954.314,203.747
R2_1_200EW_e082,570789.981,137964.782,203.322
R2_1_200EW_e083,570812.45,137975.596,202.83
R2_1_200EW_e084,570834.98,137986.008,202.704
R2_1_200EW_e085,570857.791,137996.676,202.269
R2_1_200EW_e086,570880.691,138007.24,201.845
R2_1_200EW_e087,570902.997,138017.783,201.453
R2_1_200EW_e088,570925.827,138028.429,201.101
R2_1_200EW_e089,570948.538,138038.783,200.787
R2_1_200EW_e090,570971.021,138049.463,200.642
R2_1_200EW_e091,570993.838,138059.976,200.417
R2_1_200EW_e092,571016.395,138070.644,199.636
R2_1_200EW_e093,571039.141,138081.149,199.324
R2_1_200EW_e094,571061.78,138091.743,198.636
R2_1_200EW_e095,571083.921,138101.76,198.646
R2_1_200EW_e096,571106.904,138112.751,197.753
C8067_05252021c,569109.922,137600.998,217.057
C8067_05252021d,569109.735,137600.699,217.053
C8717_05252021c,569264.243,137264.87,219.762
C8717_05252021d,569264.449,137265.091,219.772
