Marker,Easting (m),Northing (m),Elevation (m)
C8786,568829.74,137966.54,211.09
C8067,569109.83,137600.88,217.062
C8717,569264.36,137264.99,219.788
C9988,568501.64,138200.91,208.248
C8067_12082020a,569109.838,137601.005,217.053
C8717_12082020a,569264.539,137264.944,219.768
L1_e65,570084.876,137967.232,206.946
L1_e66,570107.821,137977.844,206.556
L1_e67,570130.566,137988.646,206.159
L1_e68,570153.113,137999.006,205.713
L1_e69,570175.925,138009.659,205.441
L1_e70,570198.34,138020.076,205.201
L1_e71,570221.043,138030.498,204.587
L1_e72,570243.803,138041.371,204.272
L1_e73,570266.396,138051.756,203.955
L1_e74,570288.995,138062.523,203.604
L1_e75,570311.698,138072.694,203.225
L1_e76,570334.194,138083.525,202.785
L1_e77,570357.441,138094.16,202.679
L1_e78,570379.44,138104.351,202.465
L1_e79,570402.457,138115.177,202.527
L1_e80,570425.506,138126.15,202.122
L1_e81,570447.422,138136.501,201.824
L1_e82,570470.559,138146.796,201.499
L1_e83,570493.191,138157.13,201.167
L1_e84,570515.698,138167.849,200.85
L1_e85,570538.335,138178.655,200.39
L1_e86,570561.257,138189.217,199.93
L1_e87,570584.086,138199.851,199.637
L1_e88,570606.301,138209.922,199.188
L1_e89,570628.782,138220.792,198.541
L1_e90,570651.623,138231.259,198.279
L1_e91,570674.061,138241.943,197.815
L1_e92,570696.955,138252.504,197.577
L1_e93,570719.868,138263.259,197.057
L1_e94,570742.155,138273.584,196.26
L1_e95,570764.718,138284.371,195.837
L1_e96,570787.507,138294.957,195.214
C8067_12082020b,569109.832,137600.999,217.058
C8717_12082020b,569264.514,137264.998,219.776
